subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
212,F,1,0,0,,,,,,,2,0,1,,,,,,
212,G,11,0,0,,,,,,,14,0,0,,,,,,
212,H,6,0,0,,,,,,,3,0,0,,,,,,
212,I,2,0,3,,,,,,,2,0,3,,,,,,
212,J,15,0,1,,,,,,,16,0,1,,,,,,
212,K,0,0,0,,,,,,,0,0,0,,,,,,
212,L,2,0,1,,,,,,,3,0,1,,,,,,
212,Either,0,0,0,4,7,50,0,0,0,6,2,0,6,9,41,0,0,
212,Integrated,11,4,0,,,,,,,4,0,0,,,,,,
213,A,15,0,3,,,,,,,15,0,3,,,,,,
213,B,45,2,1,,,,,,,44,4,4,,,,,,
213,C,0,0,0,,,,,,,5,0,0,,,,,,
213,D,27,0,5,,,,,,,19,0,4,,,,,,
213,E,50,0,9,,,,,,,36,0,6,,,,,,
213,F,1,0,2,,,,,,,7,0,1,,,,,,
213,G,33,0,0,,,,,,,29,0,1,,,,,,
213,H,10,0,2,,,,,,,8,1,3,,,,,,
213,I,5,0,2,,,,,,,3,0,3,,,,,,
213,J,32,0,3,,,,,,,25,0,2,,,,,,
213,K,15,0,2,,,,,,,11,0,2,,,,,,
213,L,5,0,0,,,,,,,7,0,2,,,,,,
213,Either,0,0,0,19,6,82,1,1,character switch with Larry,4,0,0,18,8,102,1,2,character switch with larry
213,Integrated,2,0,0,,,,,,,2,0,0,,,,,,
214,A,13,0,2,,,,,,,9,1,4,,,,,,
214,B,16,7,1,,,,,,,10,1,1,,,,,,
214,C,2,0,0,,,,,,,2,0,0,,,,,,
214,D,14,0,0,,,,,,,11,0,2,,,,,,
214,E,21,2,3,,,,,,,14,2,0,,,,,,
214,F,0,0,0,,,,,,,0,0,0,,,,,,
214,G,14,0,1,,,,,,,9,0,1,,,,,,
214,H,7,0,0,,,,,,,3,2,0,,,,,,
214,I,0,0,0,,,,,,,0,0,0,,,,,,
214,J,0,0,0,,,,,,,0,0,0,,,,,,
214,K,0,1,0,,,,,,,2,0,1,,,,,,
214,L,0,0,3,,,,,,,0,0,2,,,,,,
214,Either,0,0,0,7,4,47,0,2,0,3,1,0,15,9,45,0,1,
214,Integrated,13,2,0,,,,,,,0,0,0,,,,,,
215,A,7,0,2,,,,,,,6,0,1,,,,,,
215,B,4,0,0,,,,,,,4,0,0,,,,,,
215,C,4,0,0,,,,,,,2,0,0,,,,,,
215,D,22,0,5,,,,,,,15,0,4,,,,,,
215,E,16,0,1,,,,,,,10,0,1,,,,,,
215,F,0,0,0,,,,,,,0,0,0,,,,,,
215,G,20,0,0,,,,,,,16,0,0,,,,,,
215,H,8,0,0,,,,,,,9,0,0,,,,,,
215,I,0,0,0,,,,,,,0,0,0,,,,,,
215,J,9,0,0,,,,,,,4,0,0,,,,,,
